step	robot0_action	robot1_action	robot0_eef_pos	robot1_eef_pos
258	[-1.0, 0.26, 0.6, 0.05, 0.0, 0.12, 1.0]	[-0.17, 0.1, 0.29, -0.02, -0.02, -0.01, -1.0]	[0.11, -0.44, 1.01]	[0.2, 0.36, 1.0]
259	[-1.0, 0.23, 0.36, 0.04, 0.01, 0.12, 1.0]	[-0.14, 0.08, 0.19, -0.03, -0.03, -0.01, -1.0]	[0.09, -0.44, 1.01]	[0.2, 0.36, 1.0]
260	[-1.0, 0.23, 0.48, 0.05, 0.0, 0.12, 1.0]	[-0.14, 0.08, 0.09, -0.03, -0.02, -0.01, -1.0]	[0.08, -0.44, 1.02]	[0.19, 0.37, 1.0]
261	[-1.0, 0.21, 0.35, 0.04, 0.0, 0.11, 1.0]	[-0.11, 0.03, 0.06, -0.03, -0.02, -0.01, -1.0]	[0.07, -0.43, 1.03]	[0.19, 0.37, 1.01]
262	[-1.0, 0.18, 0.35, 0.04, 0.0, 0.11, 1.0]	[-0.14, 0.04, -0.05, -0.02, -0.02, -0.01, -1.0]	[0.05, -0.43, 1.03]	[0.19, 0.37, 1.01]
263	[-1.0, 0.2, 0.22, 0.04, 0.0, 0.11, 1.0]	[-0.11, -0.01, 0.02, -0.02, -0.02, -0.01, -1.0]	[0.04, -0.43, 1.04]	[0.19, 0.37, 1.01]
264	[-1.0, 0.15, 0.11, 0.04, -0.0, 0.11, 1.0]	[-0.15, 0.01, -0.01, -0.02, -0.01, -0.01, -1.0]	[0.03, -0.43, 1.04]	[0.19, 0.37, 1.01]
265	[-1.0, 0.16, 0.01, 0.04, 0.0, 0.11, 1.0]	[-0.12, 0.0, -0.01, -0.02, -0.01, -0.01, -1.0]	[0.01, -0.42, 1.04]	[0.19, 0.37, 1.01]
266	[-1.0, 0.15, -0.01, 0.03, 0.0, 0.11, 1.0]	[-0.1, -0.01, -0.02, -0.01, -0.01, -0.01, -1.0]	[-0.0, -0.42, 1.04]	[0.18, 0.37, 1.01]
267	[-1.0, 0.23, -0.18, 0.03, 0.01, 0.11, 1.0]	[-0.11, -0.02, -0.02, -0.01, -0.01, -0.01, -1.0]	[-0.01, -0.42, 1.04]	[0.18, 0.37, 1.01]
268	[-1.0, 0.15, -0.26, 0.02, 0.01, 0.1, 1.0]	[-0.12, 0.01, -0.03, -0.01, -0.01, -0.02, -1.0]	[-0.03, -0.42, 1.04]	[0.18, 0.37, 1.01]
269	[-1.0, 0.15, -0.32, 0.01, 0.02, 0.1, 1.0]	[-0.1, -0.0, -0.01, -0.0, -0.0, -0.02, -1.0]	[-0.04, -0.42, 1.04]	[0.18, 0.37, 1.01]
270	[-1.0, -0.06, -0.38, 0.0, 0.03, 0.1, 1.0]	[-0.12, 0.01, 0.14, -0.0, -0.0, -0.02, -1.0]	[-0.05, -0.42, 1.04]	[0.18, 0.37, 1.01]
271	[-1.0, -0.09, -0.46, -0.01, 0.03, 0.11, 1.0]	[-0.14, -0.0, 0.06, -0.0, -0.0, -0.02, -1.0]	[-0.07, -0.42, 1.03]	[0.18, 0.37, 1.01]
272	[-1.0, -0.16, -0.46, -0.01, 0.04, 0.12, 1.0]	[-0.15, -0.0, -0.01, -0.0, -0.0, -0.02, -1.0]	[-0.08, -0.42, 1.03]	[0.17, 0.37, 1.01]
273	[-1.0, -0.13, -0.47, -0.03, 0.05, 0.14, 1.0]	[-0.18, -0.0, 0.07, 0.0, -0.0, -0.02, -1.0]	[-0.09, -0.42, 1.02]	[0.17, 0.37, 1.01]
274	[-0.94, 0.05, -0.42, -0.03, 0.06, 0.13, 1.0]	[-0.2, -0.02, -0.08, 0.0, -0.0, -0.02, -1.0]	[-0.11, -0.42, 1.01]	[0.17, 0.37, 1.01]
275	[-0.64, 0.03, -0.4, -0.03, 0.05, 0.12, -1.0]	[-0.24, 0.03, 0.04, 0.01, 0.01, -0.03, -1.0]	[-0.12, -0.42, 1.01]	[0.17, 0.37, 1.01]
276	[-0.44, 0.17, -0.29, -0.02, 0.06, 0.11, -1.0]	[-0.24, 0.06, 0.07, 0.01, 0.01, -0.03, -1.0]	[-0.13, -0.42, 1.0]	[0.16, 0.37, 1.01]
277	[-0.18, 0.16, -0.42, -0.02, 0.04, 0.09, -1.0]	[-0.23, 0.06, 0.0, 0.01, 0.01, -0.03, -1.0]	[-0.14, -0.42, 1.0]	[0.16, 0.37, 1.01]
278	[0.05, 0.21, -0.18, -0.01, 0.05, 0.08, -1.0]	[-0.24, 0.09, 0.05, 0.01, 0.01, -0.03, -1.0]	[-0.15, -0.42, 0.99]	[0.16, 0.37, 1.01]
279	[0.1, 0.08, -0.32, -0.03, 0.03, 0.07, -1.0]	[-0.27, 0.08, 0.08, 0.01, 0.0, -0.03, -1.0]	[-0.15, -0.42, 0.99]	[0.16, 0.37, 1.01]
280	[0.09, 0.18, -0.32, -0.03, 0.02, 0.06, -1.0]	[-0.28, 0.06, 0.07, 0.01, -0.0, -0.03, -1.0]	[-0.15, -0.42, 0.98]	[0.15, 0.37, 1.01]
281	[0.22, 0.06, 0.08, -0.02, 0.01, 0.05, -1.0]	[-0.28, 0.06, 0.06, 0.02, -0.0, -0.03, -1.0]	[-0.15, -0.42, 0.98]	[0.15, 0.37, 1.01]
282	[0.37, 0.04, 0.29, -0.02, 0.01, 0.04, -1.0]	[-0.31, 0.05, 0.06, 0.02, -0.01, -0.03, -1.0]	[-0.14, -0.42, 0.98]	[0.15, 0.37, 1.01]
283	[0.35, 0.01, 0.38, -0.01, 0.0, 0.04, -1.0]	[-0.3, 0.04, 0.06, 0.02, -0.01, -0.03, -1.0]	[-0.14, -0.42, 0.98]	[0.14, 0.37, 1.01]
284	[0.61, -0.05, 0.43, -0.01, 0.0, 0.02, -1.0]	[-0.34, 0.03, 0.1, 0.02, -0.01, -0.04, -1.0]	[-0.14, -0.42, 0.98]	[0.14, 0.38, 1.01]
285	[0.57, -0.07, 0.55, 0.0, 0.0, 0.01, -1.0]	[-0.31, 0.04, 0.05, 0.01, -0.02, -0.04, -1.0]	[-0.13, -0.42, 0.99]	[0.14, 0.38, 1.01]
286	[0.68, -0.18, 0.59, 0.01, 0.01, 0.01, -1.0]	[-0.37, 0.04, 0.06, 0.01, -0.02, -0.04, -1.0]	[-0.12, -0.42, 0.99]	[0.13, 0.38, 1.01]
287	[0.76, -0.33, 0.72, 0.02, 0.01, -0.0, -1.0]	[-0.36, 0.03, -0.06, 0.01, -0.02, -0.04, -1.0]	[-0.12, -0.42, 1.0]	[0.13, 0.38, 1.02]
288	[0.98, -0.44, 0.7, 0.03, 0.0, -0.01, -1.0]	[-0.37, -0.01, -0.02, 0.01, -0.02, -0.04, -1.0]	[-0.11, -0.42, 1.01]	[0.12, 0.38, 1.02]
289	[1.0, -0.62, 0.68, 0.03, -0.0, -0.02, -1.0]	[-0.29, 0.01, -0.07, 0.01, -0.02, -0.04, -1.0]	[-0.1, -0.43, 1.02]	[0.12, 0.38, 1.02]
290	[1.0, -0.65, 0.54, 0.04, -0.01, -0.03, -1.0]	[-0.33, 0.01, -0.03, 0.01, -0.01, -0.04, -1.0]	[-0.08, -0.44, 1.03]	[0.11, 0.38, 1.01]
291	[1.0, -0.76, 0.41, 0.04, -0.02, -0.05, -1.0]	[-0.27, 0.0, -0.06, 0.01, -0.01, -0.04, -1.0]	[-0.07, -0.44, 1.04]	[0.11, 0.38, 1.01]
292	[1.0, -0.76, 0.21, 0.04, -0.03, -0.07, -1.0]	[-0.25, -0.03, -0.08, 0.01, -0.01, -0.05, -1.0]	[-0.06, -0.45, 1.04]	[0.11, 0.38, 1.01]
293	[1.0, -0.81, 0.05, 0.03, -0.04, -0.09, -1.0]	[-0.2, 0.01, -0.04, 0.01, -0.0, -0.04, -1.0]	[-0.05, -0.46, 1.05]	[0.1, 0.38, 1.01]
294	[1.0, -0.75, -0.09, 0.03, -0.05, -0.1, -1.0]	[-0.16, -0.03, 0.02, 0.01, 0.0, -0.04, -1.0]	[-0.03, -0.47, 1.05]	[0.1, 0.38, 1.01]
295	[1.0, -0.78, -0.14, 0.02, -0.06, -0.11, -1.0]	[-0.19, 0.02, 0.17, 0.01, 0.01, -0.05, -1.0]	[-0.02, -0.48, 1.05]	[0.1, 0.38, 1.01]
296	[1.0, -0.74, -0.08, 0.01, -0.06, -0.13, -1.0]	[-0.1, 0.01, 0.12, 0.01, 0.01, -0.05, -1.0]	[-0.01, -0.5, 1.04]	[0.09, 0.38, 1.01]
297	[1.0, -0.71, -0.19, 0.01, -0.05, -0.14, -1.0]	[-0.06, 0.06, -0.0, -0.0, 0.02, -0.05, -1.0]	[0.0, -0.51, 1.04]	[0.09, 0.38, 1.01]
298	[1.0, -0.61, -0.09, -0.0, -0.05, -0.15, -1.0]	[-0.02, 0.02, -0.08, 0.0, 0.03, -0.05, -1.0]	[0.02, -0.52, 1.04]	[0.09, 0.38, 1.01]
299	[1.0, -0.59, -0.11, -0.01, -0.05, -0.16, -1.0]	[0.09, 0.03, -0.14, 0.01, 0.04, -0.04, -1.0]	[0.03, -0.52, 1.04]	[0.09, 0.38, 1.01]
300	[1.0, -0.5, -0.11, -0.01, -0.04, -0.16, -1.0]	[0.11, 0.07, -0.09, 0.02, 0.05, -0.04, -1.0]	[0.04, -0.52, 1.04]	[0.09, 0.38, 1.01]
301	[1.0, -0.44, -0.09, 0.0, -0.04, -0.16, -1.0]	[0.08, 0.15, -0.09, 0.02, 0.06, -0.03, -1.0]	[0.06, -0.52, 1.04]	[0.09, 0.38, 1.01]
302	[1.0, -0.27, -0.12, 0.01, -0.04, -0.16, -1.0]	[0.14, 0.13, -0.04, 0.02, 0.06, -0.02, -1.0]	[0.07, -0.53, 1.04]	[0.09, 0.38, 1.01]
303	[1.0, -0.26, -0.21, 0.01, -0.04, -0.17, -1.0]	[0.06, 0.11, -0.05, 0.02, 0.06, -0.01, -1.0]	[0.08, -0.53, 1.04]	[0.09, 0.39, 1.01]
304	[1.0, -0.11, -0.22, 0.01, -0.03, -0.17, -1.0]	[0.06, 0.09, 0.03, 0.01, 0.05, -0.01, -1.0]	[0.1, -0.54, 1.04]	[0.09, 0.39, 1.01]
305	[1.0, 0.0, -0.26, 0.01, -0.03, -0.17, -1.0]	[0.03, 0.05, -0.01, 0.02, 0.05, -0.01, -1.0]	[0.11, -0.54, 1.04]	[0.09, 0.39, 1.01]
306	[1.0, 0.28, -0.25, 0.01, -0.03, -0.17, -1.0]	[-0.0, 0.03, 0.07, 0.01, 0.05, -0.01, -1.0]	[0.12, -0.54, 1.04]	[0.09, 0.39, 1.01]
307	[1.0, 0.36, -0.31, -0.0, -0.02, -0.17, -1.0]	[-0.01, -0.0, -0.01, 0.01, 0.04, -0.01, -1.0]	[0.14, -0.54, 1.03]	[0.09, 0.39, 1.01]
308	[0.81, 0.45, -0.25, -0.01, -0.01, -0.16, -1.0]	[0.01, 0.01, 0.02, 0.01, 0.04, -0.0, -1.0]	[0.15, -0.54, 1.03]	[0.09, 0.39, 1.01]
309	[0.7, 0.37, -0.5, -0.02, 0.0, -0.15, -1.0]	[0.02, 0.05, 0.05, 0.01, 0.03, -0.0, -1.0]	[0.16, -0.54, 1.02]	[0.09, 0.39, 1.01]
310	[0.46, 0.34, -0.55, -0.03, 0.01, -0.14, -1.0]	[0.02, 0.04, 0.0, 0.01, 0.03, 0.0, -1.0]	[0.17, -0.53, 1.02]	[0.09, 0.39, 1.01]
311	[0.35, 0.2, -0.72, -0.03, 0.03, -0.13, -1.0]	[0.01, 0.03, 0.02, 0.01, 0.02, 0.0, -1.0]	[0.17, -0.53, 1.01]	[0.09, 0.39, 1.01]
312	[0.23, 0.28, -0.77, -0.03, 0.03, -0.12, -1.0]	[0.02, 0.01, 0.02, 0.01, 0.02, 0.0, -1.0]	[0.18, -0.53, 1.0]	[0.09, 0.39, 1.01]
313	[0.36, 0.18, -0.8, -0.03, 0.03, -0.11, -1.0]	[0.0, 0.02, -0.05, 0.01, 0.02, 0.0, -1.0]	[0.18, -0.52, 1.0]	[0.09, 0.39, 1.01]
314	[0.36, 0.27, -0.66, -0.02, 0.03, -0.1, -1.0]	[-0.01, -0.01, 0.03, 0.01, 0.01, 0.0, -1.0]	[0.18, -0.52, 0.99]	[0.09, 0.39, 1.01]
315	[0.49, 0.26, -0.56, -0.01, 0.03, -0.09, -1.0]	[0.03, 0.01, -0.02, 0.01, 0.01, 0.0, -1.0]	[0.19, -0.51, 0.98]	[0.09, 0.39, 1.01]
316	[0.54, 0.31, -0.42, -0.01, 0.03, -0.09, -1.0]	[0.03, 0.02, 0.01, 0.01, 0.01, 0.0, -1.0]	[0.19, -0.51, 0.97]	[0.09, 0.4, 1.01]
317	[0.53, 0.32, -0.42, -0.0, 0.03, -0.08, -1.0]	[0.02, 0.03, 0.02, 0.01, 0.01, 0.01, -1.0]	[0.2, -0.5, 0.97]	[0.09, 0.4, 1.01]
318	[0.5, 0.34, -0.41, -0.01, 0.04, -0.08, -1.0]	[0.02, 0.02, 0.05, 0.0, 0.01, 0.01, -1.0]	[0.2, -0.5, 0.96]	[0.09, 0.4, 1.01]
319	[0.4, 0.31, -0.46, -0.01, 0.04, -0.08, -1.0]	[0.0, -0.03, -0.06, 0.01, 0.01, 0.01, -1.0]	[0.21, -0.5, 0.95]	[0.09, 0.4, 1.01]
320	[0.18, 0.37, -0.57, -0.01, 0.04, -0.07, -1.0]	[0.03, -0.01, -0.01, 0.01, 0.0, 0.01, -1.0]	[0.21, -0.5, 0.94]	[0.09, 0.4, 1.01]
321	[0.09, 0.31, -0.62, -0.01, 0.04, -0.06, -1.0]	[-0.0, -0.01, -0.04, 0.01, 0.0, 0.01, -1.0]	[0.22, -0.49, 0.94]	[0.09, 0.4, 1.01]
322	[-0.02, 0.26, -0.73, -0.01, 0.05, -0.06, -1.0]	[0.02, -0.01, -0.02, 0.01, 0.0, 0.01, -1.0]	[0.22, -0.49, 0.93]	[0.1, 0.4, 1.01]
323	[-0.03, 0.27, -0.78, -0.02, 0.04, -0.05, -1.0]	[0.0, -0.02, 0.03, 0.01, -0.0, 0.0, -1.0]	[0.22, -0.49, 0.92]	[0.1, 0.4, 1.01]
324	[-0.01, 0.26, -0.78, -0.02, 0.04, -0.05, -1.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.22, -0.49, 0.91]	[0.1, 0.4, 1.01]
325	[-0.03, 0.27, -0.68, -0.02, 0.04, -0.04, -1.0]	[-0.01, 0.0, -0.01, 0.0, 0.0, 0.0, -1.0]	[0.22, -0.48, 0.9]	[0.1, 0.4, 1.01]
326	[-0.04, 0.28, -0.65, -0.02, 0.04, -0.04, -1.0]	[-0.01, -0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.22, -0.48, 0.89]	[0.1, 0.4, 1.01]
327	[0.02, 0.29, -0.49, -0.01, 0.03, -0.03, -1.0]	[-0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.22, -0.48, 0.88]	[0.1, 0.4, 1.01]
328	[-0.0, 0.23, -0.38, -0.0, 0.03, -0.03, -1.0]	[0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.21, -0.48, 0.87]	[0.1, 0.4, 1.01]
329	[0.01, 0.29, -0.28, 0.0, 0.03, -0.03, -1.0]	[0.01, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.21, -0.48, 0.86]	[0.1, 0.4, 1.01]
330	[-0.06, 0.18, -0.38, -0.0, 0.03, -0.03, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.21, -0.48, 0.85]	[0.1, 0.4, 1.01]
331	[-0.27, 0.11, -0.4, -0.01, 0.04, -0.03, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.21, -0.48, 0.85]	[0.1, 0.4, 1.01]
332	[-0.61, -0.03, -0.29, -0.02, 0.04, -0.01, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.21, -0.48, 0.84]	[0.1, 0.4, 1.01]
333	[-0.6, -0.11, -0.25, -0.03, 0.03, 0.01, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.2, -0.48, 0.84]	[0.1, 0.4, 1.01]
334	[-0.56, -0.11, -0.21, -0.04, 0.03, 0.02, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.19, -0.48, 0.83]	[0.1, 0.4, 1.01]
335	[-0.54, -0.17, -0.13, -0.04, 0.04, 0.02, -1.0]	[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.48, 0.83]	[0.1, 0.4, 1.01]
336	[-0.56, -0.2, -0.04, -0.05, 0.04, 0.03, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.49, 0.83]	[0.1, 0.4, 1.01]
337	[-0.65, -0.26, 0.04, -0.05, 0.04, 0.04, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.49, 0.82]	[0.1, 0.4, 1.01]
338	[-0.53, -0.24, 0.09, -0.05, 0.04, 0.05, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.16, -0.49, 0.82]	[0.1, 0.4, 1.01]
339	[-0.42, -0.18, 0.13, -0.05, 0.04, 0.05, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.15, -0.5, 0.83]	[0.1, 0.4, 1.01]
340	[-0.31, -0.08, 0.06, -0.05, 0.06, 0.06, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.16, -0.5, 0.83]	[0.1, 0.4, 1.01]
341	[-0.2, -0.02, 0.06, -0.05, 0.06, 0.07, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.16, -0.5, 0.83]	[0.1, 0.4, 1.01]
342	[-0.09, -0.04, -0.06, -0.06, 0.06, 0.07, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.16, -0.5, 0.83]	[0.1, 0.4, 1.01]
343	[0.02, 0.09, -0.24, -0.07, 0.05, 0.07, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.16, -0.5, 0.83]	[0.1, 0.4, 1.01]
344	[0.1, 0.13, -0.33, -0.07, 0.04, 0.06, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.16, -0.5, 0.82]	[0.1, 0.4, 1.01]
345	[0.23, 0.16, -0.55, -0.08, 0.04, 0.05, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.16, -0.5, 0.82]	[0.1, 0.4, 1.01]
346	[0.23, 0.14, -0.61, -0.09, 0.05, 0.04, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.16, -0.5, 0.82]	[0.1, 0.4, 1.01]
347	[0.16, 0.15, -0.6, -0.09, 0.06, 0.03, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.5, 0.82]	[0.1, 0.4, 1.01]
348	[0.14, 0.01, -0.62, -0.09, 0.07, 0.02, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.51, 0.82]	[0.1, 0.4, 1.01]
349	[-0.04, -0.05, -0.56, -0.1, 0.09, 0.02, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.51, 0.82]	[0.1, 0.4, 1.01]
350	[-0.16, -0.17, -0.45, -0.11, 0.1, 0.03, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.51, 0.82]	[0.1, 0.4, 1.01]
351	[-0.17, -0.2, -0.36, -0.13, 0.09, 0.05, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.5, 0.82]	[0.1, 0.4, 1.01]
352	[0.01, -0.28, -0.05, -0.14, 0.08, 0.07, -1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.5, 0.82]	[0.1, 0.4, 1.01]
353	[0.17, -0.23, 0.05, -0.14, 0.06, 0.08, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.5, 0.82]	[0.1, 0.4, 1.01]
354	[0.29, -0.25, 0.09, -0.13, 0.04, 0.08, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.51, 0.82]	[0.1, 0.4, 1.01]
355	[0.23, -0.15, 0.05, -0.12, 0.03, 0.08, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.17, -0.51, 0.82]	[0.1, 0.4, 1.01]
356	[0.22, -0.18, 0.06, -0.11, 0.02, 0.08, 1.0]	[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.51, 0.82]	[0.1, 0.4, 1.01]
357	[0.12, -0.14, 0.18, -0.08, 0.03, 0.07, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
358	[-0.05, -0.22, -0.05, -0.08, 0.04, 0.07, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
359	[-0.11, -0.2, 0.03, -0.07, 0.04, 0.07, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
360	[-0.05, -0.25, -0.05, -0.06, 0.05, 0.06, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
361	[0.04, -0.27, -0.11, -0.06, 0.05, 0.05, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
362	[0.1, -0.37, -0.16, -0.05, 0.05, 0.04, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
363	[0.21, -0.33, -0.08, -0.04, 0.04, 0.02, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
364	[0.19, -0.35, 0.07, -0.03, 0.04, 0.01, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
365	[0.31, -0.22, 0.45, -0.03, 0.02, -0.01, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
366	[0.23, -0.14, 1.0, -0.0, 0.01, -0.02, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.82]	[0.1, 0.4, 1.01]
367	[0.17, 0.2, 1.0, 0.07, -0.0, -0.02, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.52, 0.83]	[0.1, 0.4, 1.01]
368	[0.13, 0.33, 1.0, 0.09, -0.0, -0.02, 1.0]	[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.52, 0.84]	[0.1, 0.4, 1.01]
369	[0.17, 0.34, 1.0, 0.1, -0.01, -0.03, 1.0]	[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.51, 0.86]	[0.1, 0.4, 1.01]
370	[0.09, 0.44, 1.0, 0.11, -0.02, -0.02, 1.0]	[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.51, 0.87]	[0.1, 0.4, 1.01]
371	[0.12, 0.31, 1.0, 0.11, -0.02, -0.02, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.51, 0.88]	[0.1, 0.4, 1.01]
372	[0.16, 0.49, 1.0, 0.11, -0.03, -0.02, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.5, 0.89]	[0.1, 0.4, 1.01]
373	[0.18, 0.34, 1.0, 0.11, -0.03, -0.02, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.18, -0.5, 0.91]	[0.1, 0.4, 1.01]
374	[0.16, 0.48, 1.0, 0.11, -0.03, -0.02, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.19, -0.5, 0.92]	[0.1, 0.4, 1.01]
375	[0.1, 0.47, 1.0, 0.1, -0.03, -0.02, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.19, -0.5, 0.93]	[0.1, 0.4, 1.01]
376	[0.13, 0.62, 1.0, 0.08, -0.02, -0.01, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.19, -0.49, 0.94]	[0.1, 0.4, 1.01]
377	[0.14, 0.86, 0.83, 0.06, -0.02, -0.01, 1.0]	[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.49, 0.95]	[0.1, 0.4, 1.01]
378	[0.23, 0.86, 0.73, 0.04, -0.02, -0.01, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.19, -0.48, 0.96]	[0.1, 0.4, 1.01]
379	[0.24, 1.0, 0.77, 0.02, -0.01, -0.01, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.19, -0.48, 0.97]	[0.1, 0.4, 1.01]
380	[0.33, 0.93, 0.87, 0.01, 0.0, -0.01, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.19, -0.47, 0.98]	[0.1, 0.4, 1.01]
381	[0.26, 1.0, 0.99, 0.0, 0.01, -0.01, 1.0]	[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.46, 0.99]	[0.1, 0.4, 1.01]
382	[0.2, 1.0, 0.95, -0.01, 0.01, -0.0, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.2, -0.45, 1.0]	[0.1, 0.4, 1.01]
383	[0.14, 1.0, 1.0, -0.01, 0.01, 0.0, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.2, -0.45, 1.01]	[0.1, 0.4, 1.01]
384	[0.04, 1.0, 0.9, -0.02, 0.01, 0.01, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.2, -0.44, 1.02]	[0.1, 0.4, 1.01]
385	[0.09, 1.0, 0.87, -0.02, 0.01, 0.01, 1.0]	[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -1.0]	[0.2, -0.43, 1.03]	[0.1, 0.4, 1.01]
386	[0.02, 1.0, 0.76, -0.02, 0.01, 0.01, 1.0]	[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -1.0]	[0.2, -0.42, 1.04]	[0.1, 0.4, 1.01]
387	[0.04, 1.0, 0.64, -0.02, 0.01, 0.02, 1.0]	[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -1.0]	[0.2, -0.4, 1.05]	[0.1, 0.4, 1.01]
