step	robot0_action	robot0_eef_pos
505	[0.04, -0.02, -0.06, 0.01, -0.0, 0.01, 1.0]	[0.05, -0.21, 0.81]
506	[0.03, -0.0, 0.02, 0.01, 0.0, 0.01, 1.0]	[0.05, -0.21, 0.81]
507	[0.04, 0.08, 0.08, 0.01, 0.0, 0.01, 1.0]	[0.05, -0.21, 0.81]
508	[0.03, 0.08, 0.08, 0.01, 0.0, 0.01, 1.0]	[0.05, -0.21, 0.81]
509	[0.06, 0.16, 0.13, 0.0, -0.0, 0.01, 1.0]	[0.05, -0.21, 0.81]
510	[-0.0, 0.14, 0.16, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.21, 0.81]
511	[-0.07, 0.2, 0.28, -0.01, 0.01, -0.0, 1.0]	[0.05, -0.2, 0.82]
512	[-0.16, 0.21, 0.67, -0.01, 0.02, -0.01, 1.0]	[0.05, -0.2, 0.82]
513	[-0.22, 0.35, 0.92, -0.03, 0.04, -0.01, 1.0]	[0.05, -0.2, 0.82]
514	[-0.32, 0.33, 1.0, -0.04, 0.05, -0.02, 1.0]	[0.04, -0.2, 0.84]
515	[-0.43, 0.41, 1.0, -0.06, 0.06, -0.02, 1.0]	[0.04, -0.2, 0.85]
516	[-0.52, 0.45, 1.0, -0.07, 0.07, -0.03, 1.0]	[0.04, -0.19, 0.86]
517	[-0.52, 0.56, 1.0, -0.08, 0.08, -0.03, 1.0]	[0.03, -0.19, 0.88]
518	[-0.44, 0.51, 1.0, -0.08, 0.09, -0.02, 1.0]	[0.02, -0.19, 0.89]
519	[-0.48, 0.52, 1.0, -0.08, 0.1, -0.02, 1.0]	[0.02, -0.18, 0.9]
520	[-0.45, 0.5, 1.0, -0.07, 0.11, -0.02, 1.0]	[0.01, -0.17, 0.91]
521	[-0.44, 0.43, 1.0, -0.07, 0.12, -0.01, 1.0]	[0.0, -0.17, 0.93]
522	[-0.38, 0.48, 1.0, -0.06, 0.12, -0.01, 1.0]	[-0.01, -0.16, 0.94]
523	[-0.39, 0.37, 0.93, -0.05, 0.13, -0.0, 1.0]	[-0.01, -0.16, 0.95]
524	[-0.44, 0.41, 0.87, -0.04, 0.14, -0.0, 1.0]	[-0.02, -0.15, 0.96]
525	[-0.5, 0.24, 0.66, -0.04, 0.14, -0.0, 1.0]	[-0.03, -0.14, 0.97]
526	[-0.61, 0.32, 0.66, -0.03, 0.13, -0.01, 1.0]	[-0.03, -0.14, 0.98]
527	[-0.5, 0.16, 0.62, -0.03, 0.12, -0.01, 1.0]	[-0.04, -0.13, 0.99]
528	[-0.37, 0.1, 0.48, -0.02, 0.12, -0.01, 1.0]	[-0.05, -0.13, 1.0]
529	[-0.32, 0.1, 0.41, -0.02, 0.12, -0.0, 1.0]	[-0.06, -0.13, 1.01]
530	[-0.36, 0.03, 0.36, -0.01, 0.11, 0.0, 1.0]	[-0.06, -0.12, 1.01]
531	[-0.36, 0.08, 0.32, -0.0, 0.11, 0.0, 1.0]	[-0.07, -0.12, 1.02]
532	[-0.14, 0.02, 0.4, -0.01, 0.1, 0.0, 1.0]	[-0.08, -0.12, 1.02]
533	[-0.22, 0.04, 0.37, -0.01, 0.1, 0.0, 1.0]	[-0.08, -0.12, 1.02]
534	[0.08, -0.12, 0.26, -0.02, 0.1, 0.0, 1.0]	[-0.08, -0.12, 1.03]
535	[-0.17, -0.03, 0.3, -0.02, 0.09, 0.0, 1.0]	[-0.09, -0.12, 1.03]
536	[-0.1, -0.24, 0.15, -0.02, 0.09, 0.0, 1.0]	[-0.09, -0.12, 1.03]
537	[-0.19, -0.08, 0.16, -0.02, 0.08, 0.0, 1.0]	[-0.09, -0.12, 1.04]
538	[-0.16, -0.3, 0.02, -0.02, 0.08, -0.0, 1.0]	[-0.09, -0.12, 1.04]
539	[-0.25, -0.06, 0.09, -0.02, 0.07, -0.0, 1.0]	[-0.1, -0.13, 1.04]
540	[-0.17, -0.26, 0.11, -0.02, 0.07, -0.0, 1.0]	[-0.1, -0.13, 1.04]
541	[-0.23, -0.03, 0.16, -0.02, 0.06, -0.0, 1.0]	[-0.1, -0.13, 1.04]
542	[-0.17, -0.16, 0.15, -0.02, 0.06, -0.0, 1.0]	[-0.1, -0.13, 1.04]
543	[-0.17, 0.0, 0.2, -0.02, 0.05, -0.0, 1.0]	[-0.11, -0.13, 1.04]
544	[-0.15, -0.1, 0.15, -0.01, 0.05, -0.0, 1.0]	[-0.11, -0.13, 1.05]
545	[-0.2, 0.01, 0.09, -0.01, 0.04, -0.0, 1.0]	[-0.11, -0.13, 1.05]
546	[-0.2, -0.1, -0.02, -0.01, 0.04, -0.0, 1.0]	[-0.11, -0.13, 1.05]
547	[-0.02, -0.03, -0.03, -0.01, 0.03, -0.0, 1.0]	[-0.12, -0.13, 1.05]
548	[0.17, -0.18, -0.12, -0.01, 0.02, 0.0, 1.0]	[-0.12, -0.14, 1.05]
549	[0.3, -0.13, -0.17, -0.01, 0.01, 0.01, 1.0]	[-0.12, -0.14, 1.05]
550	[0.38, -0.26, -0.03, -0.0, 0.01, 0.02, 1.0]	[-0.12, -0.14, 1.05]
551	[0.31, -0.17, -0.26, -0.0, 0.01, 0.02, 1.0]	[-0.11, -0.14, 1.04]
552	[0.22, -0.3, -0.16, 0.0, 0.01, 0.02, 1.0]	[-0.11, -0.14, 1.04]
553	[0.24, -0.22, -0.14, 0.0, 0.01, 0.02, 1.0]	[-0.11, -0.15, 1.04]
554	[0.2, -0.28, -0.04, -0.0, 0.01, 0.03, 1.0]	[-0.1, -0.15, 1.03]
555	[0.16, -0.3, -0.04, -0.01, 0.0, 0.03, 1.0]	[-0.1, -0.15, 1.03]
556	[0.07, -0.34, -0.03, -0.01, 0.0, 0.03, 1.0]	[-0.1, -0.16, 1.03]
557	[0.07, -0.32, 0.08, -0.02, 0.0, 0.03, 1.0]	[-0.1, -0.16, 1.03]
558	[0.08, -0.31, 0.09, -0.02, 0.0, 0.03, 1.0]	[-0.1, -0.16, 1.03]
559	[0.08, -0.14, 0.27, -0.02, 0.01, 0.03, 1.0]	[-0.1, -0.17, 1.03]
560	[0.07, -0.05, 0.35, -0.02, 0.01, 0.03, 1.0]	[-0.09, -0.17, 1.04]
561	[0.02, 0.11, 0.38, -0.02, 0.01, 0.03, 1.0]	[-0.09, -0.17, 1.04]
562	[-0.06, 0.1, 0.26, -0.02, 0.01, 0.02, 1.0]	[-0.09, -0.17, 1.04]
563	[-0.07, 0.28, 0.36, -0.01, 0.01, 0.02, 1.0]	[-0.09, -0.17, 1.05]
564	[-0.12, 0.27, 0.24, -0.01, 0.01, 0.01, 1.0]	[-0.09, -0.17, 1.05]
565	[-0.06, 0.36, 0.28, -0.01, 0.01, 0.01, 1.0]	[-0.09, -0.17, 1.06]
566	[-0.02, 0.36, 0.26, -0.0, 0.01, 0.01, 1.0]	[-0.09, -0.16, 1.06]
567	[-0.03, 0.29, 0.21, -0.0, 0.02, 0.0, 1.0]	[-0.09, -0.16, 1.06]
568	[0.03, 0.24, 0.18, 0.0, 0.02, 0.0, 1.0]	[-0.09, -0.15, 1.07]
569	[-0.03, 0.21, 0.22, 0.0, 0.02, 0.0, 1.0]	[-0.09, -0.15, 1.07]
570	[0.01, 0.24, 0.2, 0.0, 0.02, -0.0, 1.0]	[-0.1, -0.15, 1.07]
571	[-0.07, 0.22, 0.1, 0.0, 0.02, -0.0, 1.0]	[-0.1, -0.14, 1.07]
572	[-0.06, 0.26, 0.09, 0.01, 0.02, -0.01, 1.0]	[-0.1, -0.14, 1.08]
573	[-0.08, 0.25, 0.03, 0.01, 0.02, -0.01, 1.0]	[-0.1, -0.14, 1.08]
574	[-0.06, 0.22, 0.04, 0.01, 0.02, -0.01, 1.0]	[-0.1, -0.13, 1.08]
575	[-0.06, 0.21, 0.08, 0.01, 0.02, -0.01, 1.0]	[-0.1, -0.13, 1.08]
576	[-0.02, -0.09, -0.14, 0.01, 0.02, -0.01, 1.0]	[-0.1, -0.13, 1.08]
577	[-0.01, 0.08, 0.01, 0.01, 0.02, -0.01, 1.0]	[-0.1, -0.13, 1.08]
578	[0.03, 0.07, -0.01, 0.01, 0.02, -0.01, 1.0]	[-0.1, -0.13, 1.08]
579	[-0.04, 0.02, -0.03, 0.01, 0.02, -0.01, 1.0]	[-0.1, -0.13, 1.08]
580	[-0.03, 0.05, 0.03, 0.01, 0.02, -0.01, 1.0]	[-0.1, -0.13, 1.08]
581	[-0.08, 0.0, -0.09, 0.01, 0.01, -0.01, 1.0]	[-0.1, -0.13, 1.08]
582	[-0.07, 0.04, -0.08, 0.01, 0.01, -0.01, 1.0]	[-0.1, -0.13, 1.08]
583	[-0.05, -0.02, -0.11, 0.01, 0.01, -0.01, 1.0]	[-0.1, -0.13, 1.08]
584	[0.0, -0.02, -0.1, 0.01, 0.01, -0.01, 1.0]	[-0.1, -0.13, 1.08]
585	[0.01, -0.02, -0.01, 0.01, 0.01, -0.0, 1.0]	[-0.1, -0.13, 1.08]
586	[0.12, -0.0, -0.02, 0.01, 0.01, -0.0, 1.0]	[-0.1, -0.13, 1.08]
587	[0.08, -0.04, 0.12, 0.0, 0.01, 0.0, 1.0]	[-0.1, -0.13, 1.08]
588	[0.04, -0.01, 0.06, 0.0, 0.01, 0.0, 1.0]	[-0.1, -0.13, 1.08]
589	[0.05, -0.03, 0.16, -0.0, 0.01, 0.0, 1.0]	[-0.1, -0.14, 1.08]
590	[0.08, 0.0, 0.17, -0.0, 0.01, 0.0, 1.0]	[-0.1, -0.14, 1.08]
591	[0.05, 0.02, 0.14, -0.0, 0.01, 0.0, 1.0]	[-0.1, -0.14, 1.08]
592	[0.06, 0.1, 0.06, -0.01, 0.01, 0.0, 1.0]	[-0.1, -0.14, 1.08]
593	[0.08, 0.11, 0.12, -0.01, 0.01, 0.0, 1.0]	[-0.1, -0.13, 1.08]
594	[0.07, 0.13, 0.09, -0.01, 0.01, -0.0, 1.0]	[-0.1, -0.13, 1.08]
595	[0.06, 0.14, 0.07, -0.0, 0.01, -0.0, 1.0]	[-0.1, -0.13, 1.08]
596	[0.03, 0.12, 0.01, -0.0, 0.01, -0.0, 1.0]	[-0.1, -0.13, 1.09]
597	[0.04, 0.15, -0.02, 0.0, 0.01, -0.0, 1.0]	[-0.1, -0.13, 1.09]
598	[0.06, 0.18, 0.0, 0.0, 0.01, -0.01, 1.0]	[-0.1, -0.13, 1.09]
599	[-0.0, 0.17, -0.07, 0.01, 0.0, -0.01, 1.0]	[-0.1, -0.12, 1.09]
600	[0.0, 0.12, -0.11, 0.01, 0.0, -0.01, 1.0]	[-0.1, -0.12, 1.09]
601	[-0.01, 0.15, -0.09, 0.01, -0.0, -0.01, 1.0]	[-0.1, -0.12, 1.08]
602	[0.06, 0.1, -0.04, 0.01, -0.01, -0.01, 1.0]	[-0.1, -0.12, 1.08]
603	[0.06, 0.08, -0.11, 0.01, -0.01, -0.01, 1.0]	[-0.1, -0.12, 1.08]
604	[0.11, -0.02, -0.01, 0.01, -0.01, -0.01, 1.0]	[-0.1, -0.12, 1.08]
605	[0.08, -0.02, -0.08, 0.01, -0.01, -0.01, 1.0]	[-0.09, -0.12, 1.08]
606	[0.02, 0.05, -0.14, 0.01, -0.01, -0.0, 1.0]	[-0.09, -0.12, 1.08]
607	[-0.0, -0.07, -0.11, 0.01, -0.01, -0.0, 1.0]	[-0.09, -0.11, 1.08]
608	[-0.02, 0.08, -0.19, 0.01, -0.01, -0.0, 1.0]	[-0.09, -0.12, 1.08]
609	[-0.13, -0.11, -0.19, 0.01, -0.02, -0.0, 1.0]	[-0.09, -0.11, 1.07]
610	[-0.07, -0.11, -0.2, 0.0, -0.02, -0.0, 1.0]	[-0.09, -0.12, 1.07]
611	[-0.09, -0.18, -0.21, 0.0, -0.03, 0.0, 1.0]	[-0.09, -0.12, 1.07]
612	[-0.06, -0.15, -0.29, 0.01, -0.03, 0.01, 1.0]	[-0.09, -0.12, 1.07]
613	[-0.12, -0.15, -0.13, 0.01, -0.03, 0.01, 1.0]	[-0.09, -0.12, 1.06]
614	[-0.11, -0.03, -0.15, 0.01, -0.03, 0.02, 1.0]	[-0.1, -0.12, 1.06]
615	[-0.18, -0.01, -0.08, 0.01, -0.03, 0.02, 1.0]	[-0.1, -0.12, 1.06]
616	[-0.13, 0.04, -0.01, 0.01, -0.03, 0.02, 1.0]	[-0.1, -0.12, 1.06]
617	[-0.2, 0.04, -0.22, 0.02, -0.03, 0.03, 1.0]	[-0.1, -0.12, 1.06]
618	[-0.26, 0.01, -0.2, 0.03, -0.03, 0.03, 1.0]	[-0.1, -0.12, 1.06]
619	[-0.36, 0.02, -0.16, 0.04, -0.02, 0.03, 1.0]	[-0.1, -0.12, 1.06]
620	[-0.33, -0.05, -0.21, 0.04, -0.02, 0.04, 1.0]	[-0.1, -0.12, 1.05]
621	[-0.18, -0.07, -0.01, 0.04, -0.03, 0.05, 1.0]	[-0.11, -0.12, 1.05]
622	[-0.1, -0.1, -0.02, 0.04, -0.03, 0.06, 1.0]	[-0.11, -0.12, 1.05]
623	[-0.12, -0.16, -0.05, 0.04, -0.03, 0.06, 1.0]	[-0.11, -0.12, 1.05]
624	[-0.22, -0.1, -0.01, 0.04, -0.02, 0.07, 1.0]	[-0.11, -0.12, 1.05]
625	[-0.24, -0.08, 0.0, 0.03, -0.01, 0.06, 1.0]	[-0.11, -0.13, 1.05]
626	[-0.25, -0.02, 0.05, 0.03, -0.01, 0.05, 1.0]	[-0.12, -0.13, 1.05]
627	[-0.16, 0.01, 0.1, 0.02, -0.01, 0.05, 1.0]	[-0.12, -0.13, 1.05]
628	[-0.18, 0.09, -0.01, 0.01, -0.01, 0.04, 1.0]	[-0.12, -0.13, 1.05]
629	[-0.11, 0.02, -0.02, 0.01, -0.01, 0.04, 1.0]	[-0.12, -0.13, 1.05]
630	[-0.09, -0.02, -0.11, 0.01, -0.01, 0.04, 1.0]	[-0.13, -0.12, 1.05]
631	[0.04, -0.05, -0.12, 0.02, -0.01, 0.04, 1.0]	[-0.13, -0.12, 1.05]
632	[0.01, -0.12, -0.28, 0.02, -0.01, 0.05, 1.0]	[-0.13, -0.12, 1.05]
633	[0.2, -0.11, -0.27, 0.04, -0.01, 0.06, 1.0]	[-0.13, -0.12, 1.05]
634	[0.15, -0.09, -0.35, 0.05, -0.01, 0.08, 1.0]	[-0.13, -0.12, 1.04]
635	[0.23, -0.06, -0.19, 0.06, -0.01, 0.09, 1.0]	[-0.13, -0.13, 1.04]
636	[0.15, -0.0, -0.16, 0.06, -0.01, 0.1, 1.0]	[-0.12, -0.13, 1.04]
637	[0.14, -0.02, -0.07, 0.06, -0.01, 0.1, 1.0]	[-0.12, -0.13, 1.04]
638	[0.05, 0.01, -0.1, 0.05, -0.01, 0.09, 1.0]	[-0.12, -0.13, 1.03]
639	[-0.05, 0.02, 0.04, 0.04, -0.03, 0.08, 1.0]	[-0.12, -0.13, 1.03]
640	[-0.05, 0.06, -0.08, 0.03, -0.03, 0.07, 1.0]	[-0.11, -0.13, 1.03]
641	[0.11, 0.07, -0.06, 0.03, -0.03, 0.06, 1.0]	[-0.11, -0.13, 1.03]
642	[0.14, 0.07, -0.08, 0.03, -0.03, 0.06, 1.0]	[-0.11, -0.13, 1.03]
643	[0.19, 0.04, -0.03, 0.03, -0.03, 0.05, 1.0]	[-0.11, -0.13, 1.03]
644	[0.17, 0.11, 0.11, 0.02, -0.03, 0.05, 1.0]	[-0.11, -0.13, 1.03]
645	[0.16, -0.0, 0.06, 0.02, -0.03, 0.04, 1.0]	[-0.11, -0.13, 1.04]
646	[0.06, 0.09, -0.03, 0.01, -0.03, 0.04, 1.0]	[-0.11, -0.13, 1.04]
647	[-0.09, 0.02, 0.0, 0.01, -0.03, 0.03, 1.0]	[-0.1, -0.13, 1.04]
648	[-0.21, 0.08, 0.01, 0.0, -0.04, 0.01, 1.0]	[-0.1, -0.13, 1.04]
649	[-0.2, 0.06, 0.14, -0.01, -0.04, 0.0, 1.0]	[-0.11, -0.13, 1.04]
650	[-0.14, 0.13, 0.13, -0.02, -0.05, -0.01, 1.0]	[-0.11, -0.13, 1.04]
651	[-0.14, 0.07, 0.18, -0.04, -0.07, -0.02, 1.0]	[-0.11, -0.13, 1.04]
652	[-0.14, 0.14, 0.01, -0.05, -0.08, -0.03, 1.0]	[-0.11, -0.13, 1.04]
653	[-0.12, 0.08, -0.18, -0.05, -0.1, -0.04, 1.0]	[-0.11, -0.12, 1.04]
654	[-0.02, 0.07, -0.29, -0.04, -0.11, -0.05, 1.0]	[-0.11, -0.12, 1.04]
655	[0.08, 0.06, -0.3, -0.03, -0.12, -0.04, 1.0]	[-0.11, -0.12, 1.04]
656	[0.18, -0.02, -0.32, -0.02, -0.11, -0.03, 1.0]	[-0.11, -0.12, 1.04]
657	[0.11, -0.04, -0.18, -0.01, -0.12, -0.03, 1.0]	[-0.11, -0.12, 1.03]
658	[0.06, -0.02, -0.13, -0.01, -0.12, -0.02, 1.0]	[-0.11, -0.12, 1.03]
659	[0.08, -0.06, -0.06, -0.0, -0.11, -0.01, 1.0]	[-0.11, -0.12, 1.03]
660	[0.04, -0.02, -0.13, -0.0, -0.12, -0.01, 1.0]	[-0.1, -0.12, 1.03]
661	[0.12, -0.06, -0.12, 0.0, -0.12, -0.0, 1.0]	[-0.1, -0.12, 1.03]
662	[0.14, -0.0, -0.16, 0.01, -0.1, 0.01, 1.0]	[-0.1, -0.12, 1.03]
663	[0.13, -0.02, -0.09, 0.01, -0.09, 0.01, 1.0]	[-0.1, -0.12, 1.02]
664	[-0.03, -0.02, 0.01, 0.01, -0.07, 0.01, 1.0]	[-0.1, -0.12, 1.02]
665	[-0.02, -0.02, 0.09, 0.0, -0.06, 0.0, 1.0]	[-0.1, -0.12, 1.02]
666	[-0.03, 0.05, 0.12, 0.0, -0.05, 0.0, 1.0]	[-0.1, -0.12, 1.02]
667	[-0.06, 0.02, 0.01, 0.0, -0.04, -0.0, 1.0]	[-0.1, -0.12, 1.02]
668	[-0.02, 0.03, 0.0, 0.01, -0.03, -0.0, -1.0]	[-0.1, -0.12, 1.02]
669	[0.0, 0.06, -0.06, 0.01, -0.02, -0.01, -1.0]	[-0.1, -0.12, 1.02]
670	[0.03, -0.02, -0.14, 0.03, -0.0, -0.01, -1.0]	[-0.1, -0.12, 1.02]
671	[0.08, 0.06, -0.04, 0.03, 0.01, -0.01, -1.0]	[-0.1, -0.12, 1.02]
672	[-0.09, 0.02, 0.12, 0.02, 0.02, -0.02, -1.0]	[-0.1, -0.12, 1.02]
673	[0.04, 0.03, -0.11, 0.02, 0.02, -0.02, -1.0]	[-0.1, -0.12, 1.02]
674	[-0.03, 0.01, -0.16, 0.02, 0.03, -0.02, -1.0]	[-0.11, -0.12, 1.02]
675	[0.08, 0.09, -0.13, 0.03, 0.03, -0.01, -1.0]	[-0.11, -0.12, 1.02]
676	[0.07, 0.06, -0.04, 0.03, 0.03, -0.0, -1.0]	[-0.11, -0.12, 1.01]
677	[0.09, 0.07, -0.01, 0.03, 0.03, -0.0, -1.0]	[-0.11, -0.12, 1.01]
678	[0.06, 0.07, 0.08, 0.03, 0.03, -0.0, -1.0]	[-0.11, -0.12, 1.01]
679	[0.13, 0.09, 0.01, 0.03, 0.04, 0.0, -1.0]	[-0.11, -0.12, 1.01]
680	[0.08, 0.13, -0.04, 0.03, 0.05, 0.0, -1.0]	[-0.1, -0.11, 1.01]
